,song_name,genre,pred_genre,predicted,genre_num
0,Mercury: Retrograde,Dark Trap,Underground Rap,7,0
1,Pathology,Dark Trap,RnB,5,0
2,Symbiote,Dark Trap,Dark Trap,0,0
3,ProductOfDrugs (Prod. The Virus and Antidote),Dark Trap,Trap Metal,6,0
4,Venom,Dark Trap,Trap Metal,6,0
5,Gatteka,Dark Trap,Underground Rap,7,0
6,kamikaze (+ pulse),Dark Trap,Trap Metal,6,0
7,T.R.U. (Totally Rotten Underground),Dark Trap,Trap Metal,6,0
8,I Put My Dick in Your Mental,Dark Trap,Dark Trap,0,0
9,Andromeda,Dark Trap,Trap Metal,6,0
10,I'm Not Okay (I Promise),Emo,Emo,1,1
11,The Middle,Emo,Emo,1,1
12,Cute Without The 'E' (Cut From The Team),Emo,Emo,1,1
13,The Taste of Ink,Emo,Emo,1,1
14,"Sugar, We're Goin Down",Emo,Emo,1,1
15,I Write Sins Not Tragedies,Emo,Pop,3,1
16,Misery Business,Emo,Emo,1,1
17,Little Things,Emo,Rap,4,1
18,Miss Murder,Emo,Emo,1,1
19,War All The Time,Emo,Emo,1,1
20,Stand Up,Hiphop,Hiphop,2,2
21,Ms. Jackson,Hiphop,Hiphop,2,2
22,Roses,Hiphop,RnB,5,2
23,"So Fresh, So Clean",Hiphop,RnB,5,2
24,The Way You Move (feat. Sleepy Brown),Hiphop,Pop,3,2
25,Miami,Hiphop,Rap,4,2
26,"Men In Black - From ""Men In Black"" Soundtrack",Hiphop,Hiphop,2,2
27,Wild Wild West (feat. Dru Hill & Kool Mo Dee) - Album Version With Intro,Hiphop,Hiphop,2,2
28,In Da Club,Hiphop,Hiphop,2,2
29,Candy Shop,Hiphop,RnB,5,2
30,Glad You Came,Pop,Pop,3,3
31,Who Knew,Pop,Pop,3,3
32,My House,Pop,Pop,3,3
33,Hot N Cold,Pop,Pop,3,3
34,Love You Like A Love Song,Pop,Pop,3,3
35,Born This Way,Pop,Emo,1,3
36,Die Young,Pop,Pop,3,3
37,Wake Me Up,Pop,Emo,1,3
38,Hey Ya! - Radio Mix,Pop,RnB,5,3
39,Smoke & Ash,Pop,Dark Trap,0,3
40,Empty,Rap,Rap,4,4
41,MIDDLE CHILD,Rap,Underground Rap,7,4
42,SICKO MODE,Rap,RnB,5,4
43,HIGHEST IN THE ROOM,Rap,Rap,4,4
44,BUTTERFLY EFFECT,Rap,Rap,4,4
45,Ballin' (with Roddy Ricch),Rap,Rap,4,4
46,Look Back at It,Rap,Rap,4,4
47,Hot (feat. Gunna),Rap,Rap,4,4
48,223's (feat. 9lokknine),Rap,Rap,4,4
49,Space Cadet (feat. Gunna),Rap,RnB,5,4
50,I Need a Girl,RnB,Pop,3,5
51,Let Me Love You,RnB,Hiphop,2,5
52,Same Girl (with Usher),RnB,RnB,5,5
53,Me & U (feat. Diddy & Yung Joc) - Remix,RnB,RnB,5,5
54,Suga Suga,RnB,RnB,5,5
55,Dilemma,RnB,Hiphop,2,5
56,Bartender,RnB,RnB,5,5
57,With You,RnB,RnB,5,5
58,Outta My System,RnB,Hiphop,2,5
59,My Boo,RnB,Hiphop,2,5
60,May Your Glass Be Ever Full,Trap Metal,Trap Metal,6,6
61,I Gave You Everything I Had,Trap Metal,Trap Metal,6,6
62,Alpha,Trap Metal,Trap Metal,6,6
63,Neverlakk,Trap Metal,Underground Rap,7,6
64,Role Model,Trap Metal,Trap Metal,6,6
65,Big Bad Wolf,Trap Metal,Underground Rap,7,6
66,Cinder Blocks,Trap Metal,Hiphop,2,6
67,Elimination,Trap Metal,Trap Metal,6,6
68,Smoke & Mirrors,Trap Metal,Trap Metal,6,6
69,"From Hell, I Crawled Back",Trap Metal,Trap Metal,6,6
70,Midnight $pecial,Underground Rap,Hiphop,2,7
71,IDK,Underground Rap,Trap Metal,6,7
72,KILL THEM ALL,Underground Rap,Dark Trap,0,7
73,Destiny,Underground Rap,Trap Metal,6,7
74,Trife,Underground Rap,Dark Trap,0,7
75,My Time,Underground Rap,Hiphop,2,7
76,Country Life,Underground Rap,Dark Trap,0,7
77,OMG,Underground Rap,Hiphop,2,7
78,Jet Lagged,Underground Rap,Trap Metal,6,7
79,Smoke Alone,Underground Rap,Rap,4,7
80,Drum and Bass 2020,dnb,dnb,8,8
81,Liqduicity Drum & Bass,dnb,dnb,8,8
82,Drum and Bass - 2015 to 2020,dnb,dnb,8,8
83,Liqduicity Drum & Bass,dnb,dnb,8,8
84,Liqduicity Drum & Bass,dnb,dnb,8,8
85,Liqduicity Drum & Bass,dnb,dnb,8,8
86,Liquid Drum and Bass,dnb,dnb,8,8
87,UKF Drum & Bass,dnb,dnb,8,8
88,UKF Drum & Bass - All Uploads,dnb,dnb,8,8
89,Liquid Drum and Bass Sessions 2020,dnb,dnb,8,8
90,Euphoric Hardstyle,hardstyle,hardstyle,9,9
91,Best Hardstyle ever made,hardstyle,hardstyle,9,9
92,Hardstyle 2020 | Updated Weekly,hardstyle,hardstyle,9,9
93,Euphoric Hardstyle,hardstyle,hardstyle,9,9
94,Euphoric Hardstyle,hardstyle,hardstyle,9,9
95,Euphoric Hardstyle,hardstyle,hardstyle,9,9
96,Best of Hardstyle 2020,hardstyle,hardstyle,9,9
97,Euphoric Hardstyle & Melodic Hardstyle,hardstyle,hardstyle,9,9
98,Euphoric Hardstyle,hardstyle,hardstyle,9,9
99,Euphoric Hardstyle & Melodic Hardstyle,hardstyle,hardstyle,9,9
100,Psy Trance Full-on Morning,psytrance,psytrance,10,10
101,Psytrance New Releases 2020,psytrance,psytrance,10,10
102,Psytrance: From Full on to Forrest Trance,psytrance,psytrance,10,10
103,Psytrance Can,psytrance,psytrance,10,10
104,Psytrance Can,psytrance,psytrance,10,10
105,PsyTrance 2019 By GMR,psytrance,psytrance,10,10
106,Psytrance: From Full on to Forrest Trance,psytrance,psytrance,10,10
107,Psytrance Supernova,psytrance,psytrance,10,10
108,Psytrance New Releases 2020,psytrance,psytrance,10,10
109,PsyTrance 2020 By GMR,psytrance,psytrance,10,10
110,Dirtybird Players,techhouse,techhouse,11,11
111,Tech House Movement,techhouse,techhouse,11,11
112,tech house,techhouse,techhouse,11,11
113,Tech House Bangerz,techhouse,techhouse,11,11
114,tech house,techhouse,techhouse,11,11
115,blanc | Tech House,techhouse,techhouse,11,11
116,Toolroom Tech House,techhouse,techhouse,11,11
117,Tech house,techhouse,techhouse,11,11
118,Dirtybird//Techhouse by Mack\,techhouse,techhouse,11,11
119,Dirtybird//Techhouse by Mack\,techhouse,techhouse,11,11
120,Techno,techno,techno,12,12
121,techno. only. (08/02),techno,techno,12,12
122,DARK UNDERGROUND TECHNO,techno,techno,12,12
123,techno. only. (08/02),techno,techno,12,12
124,DARK UNDERGROUND TECHNO,techno,techno,12,12
125,True Techno,techno,techno,12,12
126,Dark Techno Rave,techno,techno,12,12
127,Dark Techno,techno,techno,12,12
128,Dark Techno Rave,techno,techhouse,11,12
129,Dark Techno Rave,techno,techno,12,12
130,Uplifting | Trance,trance,trance,13,13
131,Top Trance Songs EVER,trance,trance,13,13
132,Uplifting | Trance,trance,trance,13,13
133,Top Trance Songs EVER,trance,trance,13,13
134,Anjunabeats Volumes 1 - 14,trance,techno,12,13
135,Progressive Trance,trance,trance,13,13
136,Top Trance Songs EVER,trance,trance,13,13
137,Anjunabeats Volumes 1 - 14,trance,trance,13,13
138,Top Trance Songs EVER,trance,trance,13,13
139,Progressive Trance,trance,trance,13,13
140,Headbangers:Dubstep/Riddim,trap,trap,14,14
141,HEADBANGERS:Dubstep/Riddim,trap,trap,14,14
142,HEADBANGERS:Dubstep/Riddim,trap,Emo,1,14
143,Riddim Dubstep 2017-2018-2019,trap,trap,14,14
144,Headbangers:Dubstep/Riddim,trap,trap,14,14
145,Riddim Dubstep 2017-2018-2019,trap,hardstyle,9,14
146,Riddim or die,trap,trap,14,14
147,Headbangers:Dubstep/Riddim,trap,trap,14,14
148,Riddim or die,trap,trap,14,14
149,Headbangers:Dubstep/Riddim,trap,trap,14,14
